portfolio,trade id,product,side,created at,size,size unit,price,fee,total,price/fee/total unit
default,1991293,GRT-EUR,BUY,2021-04-07T11:33:47.956Z,19.14,GRT,1.3,0.12441,-25.00641,EUR
default,1991294,GRT-EUR,BUY,2021-04-07T11:33:48.438Z,0.86,GRT,1.3,0.00559,-1.12359,EUR
default,1995527,GRT-EUR,SELL,2021-04-07T22:30:37.597Z,20,GRT,1.42,0.142,28.258,EUR
default,1996536,GRT-EUR,SELL,2021-04-08T08:20:37.630Z,20,GRT,1.45,0.145,28.855,EUR
default,1998698,GRT-EUR,SELL,2021-04-09T05:50:30.680Z,20,GRT,1.5,0.15,29.85,EUR
default,1998704,GRT-EUR,SELL,2021-04-09T05:50:30.680Z,20,GRT,1.5,0.15,29.85,EUR
default,1998874,GRT-EUR,SELL,2021-04-09T06:45:11.868Z,20,GRT,1.51,0.151,30.049,EUR
default,2014890,GRT-EUR,SELL,2021-04-12T08:17:19.241Z,20,GRT,1.65,0.165,32.835,EUR
default,2015850,GRT-EUR,SELL,2021-04-12T09:17:26.661Z,30,GRT,1.71,0.2565,51.0435,EUR
default,2026144,GRT-EUR,BUY,2021-04-13T05:58:01.732Z,20,GRT,1.65,0.165,-33.165,EUR
default,2032991,GRT-EUR,BUY,2021-04-14T01:40:08.311Z,20,GRT,1.6,0.16,-32.16,EUR
default,2035102,GRT-EUR,SELL,2021-04-14T06:36:28.494Z,20,GRT,1.67,0.167,33.233,EUR
default,2040816,GRT-EUR,BUY,2021-04-14T14:12:42.423Z,20,GRT,1.59,0.159,-31.959,EUR
default,2045819,GRT-EUR,SELL,2021-04-15T04:15:41.070Z,20,GRT,1.75,0.175,34.825,EUR
default,2047373,GRT-EUR,BUY,2021-04-15T10:21:28.905Z,20,GRT,1.66,0.166,-33.366,EUR
default,2050524,GRT-EUR,SELL,2021-04-15T17:51:20.447Z,20,GRT,1.78,0.178,35.422,EUR
